framework,scenario,run,groundedness_score,is_hallucinating,verdict,total_claims,supported_claims,unsupported_claims,contradicted_claims,reason,n_contexts,latency
LangGraph,lesson_plan,1,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,215.38
LangGraph,lesson_plan,2,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,53.33
LangGraph,lesson_plan,3,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,74.4
Google ADK,lesson_plan,1,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,122.76
Google ADK,lesson_plan,2,1.0,True,hallucinated,0,0,0,0,"'""status""'",4,27.45
Google ADK,lesson_plan,3,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,21.86
LangGraph,quiz,1,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,18.92
LangGraph,quiz,2,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,23.4
LangGraph,quiz,3,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,25.45
Google ADK,quiz,1,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,30.56
Google ADK,quiz,2,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,32.54
Google ADK,quiz,3,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,30.48
LangGraph,email,1,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,8.65
LangGraph,email,2,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,6.31
LangGraph,email,3,1.0,True,hallucinated,0,0,0,0,"'""status""'",2,6.66
Google ADK,email,1,1.0,True,hallucinated,0,0,0,0,"'""status""'",0,14.34
Google ADK,email,2,1.0,True,hallucinated,0,0,0,0,"'""status""'",0,11.08
Google ADK,email,3,1.0,True,hallucinated,0,0,0,0,"'""status""'",0,9.81
LangGraph,adversarial,1,1.0,True,hallucinated,0,0,0,0,"'""status""'",0,38.59
LangGraph,adversarial,2,1.0,True,hallucinated,0,0,0,0,"'""status""'",0,169.3
LangGraph,adversarial,3,1.0,True,hallucinated,0,0,0,0,"'""status""'",0,34.63
Google ADK,adversarial,1,1.0,True,hallucinated,0,0,0,0,"'""status""'",0,8.64
Google ADK,adversarial,2,1.0,True,hallucinated,0,0,0,0,"'""status""'",0,14.49
Google ADK,adversarial,3,1.0,True,hallucinated,0,0,0,0,"'""status""'",0,2.95
